headlines,date,type
"For the average American the best way to tell if you have covid-19 is to cough in a rich person<e2><80><99>s face and wait for their test results<e2><80><94> Harry Moroz (@hrmoroz) March 20, 2020We managed to practice social distancing while still serving our homeless community. <e2><9d><a4><ef><b8><8f><e2><9d><a4><ef><b8><8f><f0><9f><99><8f> https://t.co/qishYmZiz7<e2><80><94> Shirley Raines (@beauty2streetz) ",2020-03-21,topTweets
"Kenny Rogers, country music icon, dies at 81",2020-03-21,topNewsHeadlines
NBC News reporter berated by Trump at coronavirus briefing: 'You're a terrible reporter',2020-03-21,topNewsHeadlines
FDA approves new coronavirus test that promises rapid results,2020-03-21,topNewsHeadlines
"Coronavirus: Video shows overwhelmed hospital ICU in Bergamo, Italy",2020-03-21,topNewsHeadlines
"Dianne Feinstein, 3 Senate colleagues sold off stocks before coronavirus crash: reports",2020-03-21,topNewsHeadlines
U.S. intelligence reports from January and February warned about a likely pandemic,2020-03-21,topNewsHeadlines
"Texans drinking the most alcohol during COVID-19 outbreak, data suggests",2020-03-21,topNewsHeadlines
Fake animal news abounds on social media as coronavirus upends life,2020-03-21,topNewsHeadlines
Reporter asks Trump: What do you say to scared Americans? - CNN Video,2020-03-21,topNewsHeadlines
Coronavirus Florida: Lake Worth Beach city commission meeting turns ugly,2020-03-21,topNewsHeadlines
Italy coronavirus: Military called to enforce lockdown as 627 people die in 24 hours,2020-03-21,topNewsHeadlines
Madam C.J. Walker,2020-03-21,topTrendingOnSm
Ahsoka Tano,2020-03-21,topTrendingOnSm
Ben Carson,2020-03-21,topTrendingOnSm
Larry Edgeworth,2020-03-21,topTrendingOnSm
#KanyeWestIsOverParty,2020-03-21,topTrendingOnSm
Peter Alexander,2020-03-21,topTrendingOnSm
Governor Murphy,2020-03-21,topTrendingOnSm
Lakers,2020-03-21,topTrendingOnSm
"Updated 03:10We managed to practice social distancing while still serving our homeless community. <e2><9d><a4><ef><b8><8f><e2><9d><a4><ef><b8><8f><f0><9f><99><8f> https://t.co/qishYmZiz7<e2><80><94> Shirley Raines (@beauty2streetz) March 21, 2020I<e2><80><99>m going to give away $30,000 to 1 random person who retweets this tweet AND follows Twitter Philanthropist @Pulte and Me!! (If you don<e2><80><99>t follow us, we can<e2><80><99>t DM you the money) Will show proof! Much love<e2><80><94> Jeffree Star (@JeffreeStar) ",2020-03-22,topTweets
"I'm at Sam's ClubOlder couple in 70's checking outCashier asks if they found everything they neededLady said no - needed breadYoung man in 20's heard this and says "" Ma'am, I have a loaf you can have, and if you see anything in my cart, you're welcome to it""#Covid_19<e2><80><94> Augie Nash (@AugieNash) March 21, 2020",2020-03-22,topTweets
Sen. Rand Paul tests positive for coronavirus,2020-03-22,topNewsHeadlines
DOJ Wants to Suspend Constitutional Rights for Coronavirus Emergency,2020-03-22,topNewsHeadlines
Senate fails to move forward with coronavirus 'Phase 3' bill amid Dems' opposition,2020-03-22,topNewsHeadlines
FDA approves new test that could detect coronavirus in about 45 minutes,2020-03-22,topNewsHeadlines
Supermarket In Denmark Comes Up With A Brilliant Pricing Trick To Stop Hand Sanitizer Hoarding,2020-03-22,topNewsHeadlines
This 39-year-old New Orleans woman tested for coronavirus. She died before getting her results.,2020-03-22,topNewsHeadlines
"BREAKING: Democrats Block Coronavirus Bill That Provides Lifeline To Economy, Families",2020-03-22,topNewsHeadlines
Sanders raises over $2 million for coronavirus relief effort,2020-03-22,topNewsHeadlines
Nurse Judy Wilson-Griffin is first COVID-19 death in St. Louis region,2020-03-22,topNewsHeadlines
DOJ seeks new emergency powers amid coronavirus pandemic,2020-03-22,topNewsHeadlines
"NYC Mayor: If Trump doesn't act, 'people will die who could have lived otherwise'",2020-03-22,topNewsHeadlines
Kenny Rogers,2020-03-22,topTrendingOnSm
Defense Production Act,2020-03-22,topTrendingOnSm
Mike Pence,2020-03-22,topTrendingOnSm
Harvey Weinstein,2020-03-22,topTrendingOnSm
Updated 03:10NO SLEEEEEP https://t.co/TXEtYKiSqc<e2><80><94> The Weeknd (@theweeknd) ,2020-03-23,topTweets
Cash relief to the people.No corporate welfare.<e2><80><94> Justin Amash (@justinamash) ,2020-03-23,topTweets
"BREAKING: Dr. Fauci is warning Trump officials NOT to listen to growing push among WH advisers, GOP lawmakers to restart the economyBut Trump is alarmed by stock market & impact of high unemployment for 2020 election -- & weighing easing restrictionshttps://t.co/c5c1c7HQ8j<e2><80><94> Jeffrey Stein (@JStein_WaPo) ",2020-03-23,topTweets
U.S. Futures Dive as Democrats Accuse GOP of Rushing Rescue Bill,2020-03-23,topNewsHeadlines
Coronavirus stimulus bill fails to move forward; McConnell cites 'obstruction',2020-03-23,topNewsHeadlines
Sen. Rand Paul tests positive for coronavirus,2020-03-23,topNewsHeadlines
Pelosi says House will draft its own coronavirus funding bill,2020-03-23,topNewsHeadlines
Dallas County residents ordered to stay home as new shelter-in-place rules are put in place,2020-03-23,topNewsHeadlines
"McConnell Explodes On Pelosi For Ruining Stimulus Bill That Protected Economy, Families",2020-03-23,topNewsHeadlines
Trying to buy toilet paper? US truck drivers have your back,2020-03-23,topNewsHeadlines
"NYC Mayor: If Trump doesn't act, 'people will die who could have lived otherwise'",2020-03-23,topNewsHeadlines
Republicans say Dems blocking coronavirus relief over <e2><80><98>ideological wish list<e2><80><99>,2020-03-23,topNewsHeadlines
"Canada, Australia pulling out of Olympics because of coronavirus",2020-03-23,topNewsHeadlines
Senate Democrats block mammoth coronavirus stimulus package,2020-03-23,topNewsHeadlines
#NationalPuppyDay,2020-03-23,topTrendingOnSm
Harvey Weinstein,2020-03-23,topTrendingOnSm
Dallas County,2020-03-23,topTrendingOnSm
Earthquake,2020-03-23,topTrendingOnSm
Evangeline Lilly,2020-03-23,topTrendingOnSm
Zoom,2020-03-23,topTrendingOnSm
Wisconsin news,2020-03-23,topTrendingOnSm
Governor Hogan,2020-03-23,topTrendingOnSm
Google Meet,2020-03-23,topTrendingOnSm
Jamal Murray,2020-03-23,topTrendingOnSm
Nancy Pelosi,2020-03-23,topTrendingOnSm
Paul Pierce,2020-03-23,topTrendingOnSm
Updated 03:11Please do not take medical advice from a man who looked directly at a solar eclipse.<e2><80><94> Hillary Clinton (@HillaryClinton) ,2020-03-24,topTweets
My mother is not expendable. Your mother is not expendable.We will not put a dollar figure on human life. We can have a public health strategy that is consistent with an economic one.No one should be talking about social darwinism for the sake of the stock market.<e2><80><94> Andrew Cuomo (@NYGovCuomo) ,2020-03-24,topTweets
"Quarantine got me like https://t.co/Ovep6nQng4<e2><80><94> Kaleb (@initiation) March 23, 2020",2020-03-24,topTweets
"Pelosi's coronavirus stimulus includes return of 'Obamaphones,' other unrelated items, GOP says",2020-03-24,topNewsHeadlines
"Surgeon general has coronavirus warning: 'This week, it's going to get bad'",2020-03-24,topNewsHeadlines
CDC: coronavirus survived in Princess Cruise cabins up to 17 days after passengers left,2020-03-24,topNewsHeadlines
Texas Lt. Gov.: Grandparents would be willing to die to save the economy,2020-03-24,topNewsHeadlines
"Democrats block $2 trillion coronavirus rescue bill, Senate floor erupts in partisan anger",2020-03-24,topNewsHeadlines
"Trump says he wants country 'opened up' by Easter, despite caution from health experts",2020-03-24,topNewsHeadlines
Republicans say Dems blocking coronavirus relief over <e2><80><98>ideological wish list<e2><80><99>,2020-03-24,topNewsHeadlines
Senator Highlights Pelosi<e2><80><99>s <e2><80><98>Absurd<e2><80><99> Coronavirus Bill That Is <e2><80><98>Unrelated To The Crisis<e2><80><99>,2020-03-24,topNewsHeadlines
Man dies after ingesting chloroquine in an attempt to prevent coronavirus,2020-03-24,topNewsHeadlines
"SHOCK: Dem Stock Coronavirus Package With Green New Deal Handouts, Post Office Bailout, Union Cash",2020-03-24,topNewsHeadlines
"Spit On, Yelled At, Attacked: Chinese-Americans Fear for Their Safety",2020-03-24,topNewsHeadlines
Terrence McNally,2020-03-24,topTrendingOnSm
Google Meet,2020-03-24,topTrendingOnSm
Wisconsin news,2020-03-24,topTrendingOnSm
Updated 03:10wrap things up for now? https://t.co/C2ClD3MDLD<e2><80><94> shan murphy (@heyshanmurphy) ,2020-03-25,topTweets
"Here<e2><80><99>s a useful overview of the likely scenarios that the world will be facing in the coming months while managing this pandemic. So much depends on our ability to make good decisions going forward along with our ability to remain resilient. https://t.co/uYpP1KfOUs<e2><80><94> Barack Obama (@BarackObama) March 26, 2020The Four Seasons Hotel on 57th Street will provide FREE lodging to doctors, nurses & medical personnel currently working to respond to the #COVID19 pandemic.Thank you @FourSeasons. The first of many hotels we hope will make their rooms available.<e2><80><94> Andrew Cuomo (@NYGovCuomo) ",2020-03-25,topTweets
"Trump says he wants country 'opened up' by Easter, despite caution from health experts",2020-03-25,topNewsHeadlines
"BREAKING: Senate, White House Strike Deal On $2 Trillion Stimulus Spending Bill",2020-03-25,topNewsHeadlines
Texas Lt. Gov.: Grandparents would be willing to die to save the economy,2020-03-25,topNewsHeadlines
Trump Says Providing Coronavirus Aid to States Is a 'Two-Way Street',2020-03-25,topNewsHeadlines
"Georgia hospital worker with coronavirus found dead, her kid was with her",2020-03-25,topNewsHeadlines
"Nancy Pelosi<e2><80><99>s Coronavirus Bill Gives $300 Million To Refugees, Migrants",2020-03-25,topNewsHeadlines
Coronavirus could shut down post office by June: Congressional leaders,2020-03-25,topNewsHeadlines
"""Love Is Blind"" Just Got Renewed For Two More Seasons",2020-03-25,topNewsHeadlines
UK coronavirus live: Boris Johnson suggests government could move to ban profiteering during crisis,2020-03-25,topNewsHeadlines
Stimulus deal bars Trump's businesses from Treasury Department loans,2020-03-25,topNewsHeadlines
Missouri Walmart Coronavirus Licker Charged With 'Terrorist Threat',2020-03-25,topNewsHeadlines
Karl-Anthony Towns,2020-03-25,topTrendingOnSm
RINO,2020-03-25,topTrendingOnSm
Prince Charles,2020-03-25,topTrendingOnSm
Floyd Cardoz,2020-03-25,topTrendingOnSm
Bindi Irwin,2020-03-25,topTrendingOnSm
Waffle House Index,2020-03-25,topTrendingOnSm
Taylor Swift,2020-03-25,topTrendingOnSm
Terrence McNally,2020-03-25,topTrendingOnSm
Hantavirus,2020-03-25,topTrendingOnSm
Andy Beshear,2020-03-25,topTrendingOnSm
Liberty University,2020-03-25,topTrendingOnSm
India,2020-03-25,topTrendingOnSm
"Updated 03:10So it<e2><80><99>s official. We<e2><80><99>re number one in the world for coronavirus cases, even surpassing China which has more than 4 times as many people as the United States. That<e2><80><99>s because despite spending more money on healthcare than anyone else, we have one of the worst health systems around.<e2><80><94> Eugene Gu, MD (@eugenegu) ",2020-03-26,topTweets
Day 4 of Quarantine : #<e0><b9><82><e0><b8><a1><e0><b8><a1><e0><b8><99><e0><b8><8a><e0><b8><99><e0><b8><81> https://t.co/OvW4Z6VPTl<e2><80><94> <e0><b9><80><e0><b8><9a><e0><b8><9a><e0><b8><b5><e0><b9><8b> <e0><b8><ad><e0><b8><a5><e0><b8><b4><e0><b8><8b> (@prncss_elizabie) ,2020-03-26,topTweets
this lockdown is giving these kids too much damn wtf are they doing <f0><9f><98><ad> https://t.co/xt1gar2Dqw<e2><80><94> FATHER D <e2><9e><90> (@ayosworIdd) ,2020-03-26,topTweets
<e2><80><98>People Are Dying<e2><80><99>: 72 Hours Inside a N.Y.C. Hospital Battling Coronavirus,2020-03-26,topNewsHeadlines
Trump Cabinet's Bible teacher says gays among those to blame for COVID-19,2020-03-26,topNewsHeadlines
"Coronavirus: US death toll tops 1,000, with 55,000-plus cases",2020-03-26,topNewsHeadlines
Nurse with coronavirus kills herself over fear of infecting others,2020-03-26,topNewsHeadlines
Georgia hospital worker with coronavirus found dead at home with her child by her body,2020-03-26,topNewsHeadlines
"Unemployment claims soared to 3.3 million last week, most in history",2020-03-26,topNewsHeadlines
"Dyson to make 15,000 ventilators",2020-03-26,topNewsHeadlines
Obama urges Americans to continue social distancing despite Trump's wishes to reopen economy,2020-03-26,topNewsHeadlines
World Health Organization director praises Trump's leadership in response to coronavirus pandemic,2020-03-26,topNewsHeadlines
Seattle Station Says It Won<e2><80><99>t Carry Trump Coronavirus Briefings Live,2020-03-26,topNewsHeadlines
"Entire senior home in New Jersey, 94 people, presumed to have coronavirus",2020-03-26,topNewsHeadlines
Bison,2020-03-26,topTrendingOnSm
JoJo Siwa,2020-03-26,topTrendingOnSm
Kathy Griffin,2020-03-26,topTrendingOnSm
This Is Us,2020-03-26,topTrendingOnSm
Prince Charles,2020-03-26,topTrendingOnSm
#AirMaxDay,2020-03-26,topTrendingOnSm
Unemployment rate,2020-03-26,topTrendingOnSm
Bindi Irwin,2020-03-26,topTrendingOnSm
Dalton Gomez,2020-03-26,topTrendingOnSm
Karl-Anthony Towns,2020-03-26,topTrendingOnSm
Jon Jones,2020-03-26,topTrendingOnSm
Mark Blum,2020-03-26,topTrendingOnSm
"Updated 03:11ass so flat we watched a movie on it https://t.co/bhZjXF3sfl<e2><80><94> hec<f0><9f><8c><b5> (@jackasshec) March 26, 2020Boys who still kiss your hand or your forehead out of nowhere are ANGELS<e2><80><94> Kay (@SlackabIe) March 26, 2020this lockdown is giving these kids too much damn wtf are they doing <f0><9f><98><ad> https://t.co/xt1gar2Dqw<e2><80><94> FATHER D <e2><9e><90> (@ayosworIdd) March 26, 2020",2020-03-27,topTweets
"Dyson to make 15,000 ventilators",2020-03-27,topNewsHeadlines
More than 3 million Americans filed for unemployment claims last week,2020-03-27,topNewsHeadlines
The U.S. Now Leads the World in Confirmed Coronavirus Cases,2020-03-27,topNewsHeadlines
Trump: I don't believe you really need that many ventilators,2020-03-27,topNewsHeadlines
Pastor Who Claimed Covid-19 <e2><80><98>Hysteria<e2><80><99> Was Plot Against Trump Dies From Virus,2020-03-27,topNewsHeadlines
President Russell M. Nelson Invites All to Join in Fast for Relief from COVID-19,2020-03-27,topNewsHeadlines
Harlem Globetrotters Legend Fred 'Curly' Neal Dead At 77,2020-03-27,topNewsHeadlines
Coronavirus: Mexicans demand crackdown on Americans crossing the border,2020-03-27,topNewsHeadlines
"UK coronavirus live: death toll rises by 181 to 759, the sharpest increase so far",2020-03-27,topNewsHeadlines
Crocs donating its shoes to healthcare workers,2020-03-27,topNewsHeadlines
"101-year-old man who survived 1918 flu beats coronavirus, too",2020-03-27,topNewsHeadlines
Kourtney Kardashian,2020-03-27,topTrendingOnSm
COVID-19,2020-03-27,topTrendingOnSm
Drew Brees,2020-03-27,topTrendingOnSm
Thomas Massie,2020-03-27,topTrendingOnSm
Roman Reigns,2020-03-27,topTrendingOnSm
Krispy Kreme,2020-03-27,topTrendingOnSm
Doris Burke,2020-03-27,topTrendingOnSm
Bill Gates,2020-03-27,topTrendingOnSm
Cheesecake Factory,2020-03-27,topTrendingOnSm
Jon Jones,2020-03-27,topTrendingOnSm
Unemployment rate,2020-03-27,topTrendingOnSm
Maduro,2020-03-27,topTrendingOnSm
Updated 03:12happy https://t.co/0I7hkSJIMd<e2><80><94> Ariana Grande (@ArianaGrande) ,2020-03-28,topTweets
"We just passed 2,000 deaths in the US from Covid-19.It took us a month to go from 1 death to 1,000 deaths.It took us 48 hours to go from 1,000 deaths to 2,000 deaths.THAT is exponential growth.<e2><80><94> Mikel Jollett (@Mikel_Jollett) ",2020-03-28,topTweets
"I really miss the normal life we had 3 weeks ago<e2><80><94> <f0><9d><99><8f><f0><9d><99><a7><f0><9d><99><9a><f0><9d><99><ae> (@treydicaprio) March 27, 2020",2020-03-28,topTweets
The stimulus check won't be in the mail for Americans who owe child support,2020-03-28,topNewsHeadlines
Virus News: Abbott Launches 5-Minute Covid-19 Test,2020-03-28,topNewsHeadlines
More than 900 deaths mark Italy's deadliest day,2020-03-28,topNewsHeadlines
Trevor Noah gets 13 minutes with the one guy you want to listen to on COVID-19,2020-03-28,topNewsHeadlines
"Trump says he's considering short-term quarantine of New York, New Jersey, parts of Connecticut",2020-03-28,topNewsHeadlines
"Coronavirus: Trump told Pence not to call Washington, Michigan governors",2020-03-28,topNewsHeadlines
"Subway fire in NYC kills train operator, appears 'intentional'",2020-03-28,topNewsHeadlines
"CDC asks residents of N.Y., N.J. and Connecticut to refrain from 'non-essential travel' for 14 days",2020-03-28,topNewsHeadlines
Opinion ,2020-03-28,topNewsHeadlines
 The Religious Right<e2><80><99>s Hostility to Science Is Crippling Our Coronavirus Response,2020-03-28,topNewsHeadlines
Rhode Island Police to Hunt Down New Yorkers Seeking Refuge,2020-03-28,topNewsHeadlines
Michigan governor says shipments of medical supplies 'canceled' or 'delayed' and sent to federal government,2020-03-28,topNewsHeadlines
Joseph Lowery,2020-03-28,topTrendingOnSm
Boris Johnson,2020-03-28,topTrendingOnSm
Thomas Massie,2020-03-28,topTrendingOnSm
Drew Brees,2020-03-28,topTrendingOnSm
Trish Regan,2020-03-28,topTrendingOnSm
Steven Universe Future,2020-03-28,topTrendingOnSm
Tom Coburn,2020-03-28,topTrendingOnSm
#QuidProCOVID19,2020-03-28,topTrendingOnSm
#SafeSexTipsDuringQuarantine,2020-03-28,topTrendingOnSm
Tiger,2020-03-28,topTrendingOnSm
John Callahan,2020-03-28,topTrendingOnSm
Doris Burke,2020-03-28,topTrendingOnSm
"Updated 03:11FB said all Obama has to do is go to the podium and say <e2><80><9c> I said sit down!!<e2><80><9d> and you won<e2><80><99>t see us in the streets for two weeks<f0><9f><98><82><e2><80><94> Samariah (@MissCooperrr) March 28, 2020President Trump today at the White House said to me: <e2><80><9c>Be nice. Don't be threatening.<e2><80><9d>I<e2><80><99>m not the first human being, woman, black person or journalist to be told that while doing a job. My take: Be steady. Stay focused.  Remember your purpose. And, always press forward.<e2><80><94> Yamiche Alcindor (@Yamiche) ",2020-03-29,topTweets
An update on John https://t.co/fPQbv0tLyB<e2><80><94> John Prine (@JohnPrineMusic) ,2020-03-29,topTweets
"Joe Diffie, Nineties Country's 'Pickup Man,' Dead at 61",2020-03-29,topNewsHeadlines
Trump extends federal social distancing guidelines to April 30,2020-03-29,topNewsHeadlines
Coronavirus Illinois update: Chicago infant among 13 new COVID-19 deaths as city considered next hot spot; state's fatalities reach 47,2020-03-29,topNewsHeadlines
"Trump signed the $2 trillion coronavirus relief bill, but says he won<e2><80><99>t comply with transparency measures",2020-03-29,topNewsHeadlines
"Mashpee Wampanoag Tribe To Lose Its Reservation, U.S. Interior Secretary Orders",2020-03-29,topNewsHeadlines
"CDC asks residents of N.Y., N.J. and Connecticut to refrain from 'non-essential travel' for 14 days",2020-03-29,topNewsHeadlines
"Fauci: Coronavirus could kill over 100,000 Americans",2020-03-29,topNewsHeadlines
The missing six weeks: how Trump failed the biggest test of his life,2020-03-29,topNewsHeadlines
Medical Expert Who Corrects Trump Is Now a Target of the Far Right,2020-03-29,topNewsHeadlines
"Rhode Island police, troops stopping incoming New Yorkers to force quarantine",2020-03-29,topNewsHeadlines
The Lost Month: How a Failure to Test Blinded the U.S. to Covid-19,2020-03-29,topNewsHeadlines
"Jonesboro, Ar",2020-03-29,topTrendingOnSm
Joe Diffie,2020-03-29,topTrendingOnSm
Tom Coburn,2020-03-29,topTrendingOnSm
Dog,2020-03-29,topTrendingOnSm
Cat,2020-03-29,topTrendingOnSm
Sarah Jessica Parker,2020-03-29,topTrendingOnSm
Tiger,2020-03-29,topTrendingOnSm
Nier Replicant,2020-03-29,topTrendingOnSm
#WeLoveLouis,2020-03-29,topTrendingOnSm
Horse,2020-03-29,topTrendingOnSm
Tornado,2020-03-29,topTrendingOnSm
Lion,2020-03-29,topTrendingOnSm
"Updated 03:11Trump just said Seoul has ""38 million people"" in it. That's such an oddly wrong and yet specific number, I did a google search for Seoul. https://t.co/iuK0g6iBSo<e2><80><94> Adam Bates (@AdamTaylorBates) ",2020-03-30,topTweets
"The year is 2075. <e2><80><9c>Grandma why do you like sitting outside<e2><80><9d> Me: There was a time this was illegal.<e2><80><94> Hara<e2><9c><a8> (@lutricialeroux) March 29, 2020get a load a dis https://t.co/2SPx6f3fbA<e2><80><94> Ariana Grande (@ArianaGrande) ",2020-03-30,topTweets
Coronavirus: Trump extends social distancing guidelines through April 30,2020-03-30,topNewsHeadlines
"Joe Diffie, Nineties Country's 'Pickup Man,' Dead at 61",2020-03-30,topNewsHeadlines
Some Good News with John Krasinski,2020-03-30,topNewsHeadlines
Choir practice turns fatal. Airborne coronavirus strongly suspected,2020-03-30,topNewsHeadlines
John Prine Hospitalized With COVID-19 Symptoms: 'Situation Is Critical',2020-03-30,topNewsHeadlines
Florida Megachurch Packed with Worshipers During Coronavirus Pandemic,2020-03-30,topNewsHeadlines
Country music star Joe Diffie dies of coronavirus at 61,2020-03-30,topNewsHeadlines
Trump falsely denies saying two things he said last week,2020-03-30,topNewsHeadlines
"Liberty University Brings Back Its Students, and Coronavirus Fears, Too",2020-03-30,topNewsHeadlines
"Donald Trump concedes US Covid-19 death toll could be 100,000 or more",2020-03-30,topNewsHeadlines
DeWine extends closure of Ohio K-12 schools until May 1,2020-03-30,topNewsHeadlines
John Prine,2020-03-30,topTrendingOnSm
#WelcomeToMyPlayground,2020-03-30,topTrendingOnSm
#NationalDoctorsDay,2020-03-30,topTrendingOnSm
#NoMoreDreamIsComing,2020-03-30,topTrendingOnSm
Adonis,2020-03-30,topTrendingOnSm
#BTSONHomeFest,2020-03-30,topTrendingOnSm
#WeLoveYamiche,2020-03-30,topTrendingOnSm
Drakes,2020-03-30,topTrendingOnSm
Nothing Compares,2020-03-30,topTrendingOnSm
Quincy Jones,2020-03-30,topTrendingOnSm
#Ask5SOS,2020-03-30,topTrendingOnSm
Hobi,2020-03-30,topTrendingOnSm
Updated 03:10This what y<e2><80><99>all wanted huh? https://t.co/lkwDqYUt80<e2><80><94> J S N (@jsnxoxo) ,2020-03-31,topTweets
"Turns out my top three hobbies are:1) restaurants 2) bars3) non-essential businesses<e2><80><94> Natalie Gregerson (@nattygeeee) March 30, 2020This White House briefing room slide lists as ""goals"" 100,000 to 240,000 deaths.Breathtaking. https://t.co/CrajjVGqVf<e2><80><94> Shane Goldmacher (@ShaneGoldmacher) ",2020-03-31,topTweets
"Trump says administration ""looking at"" hazard pay for doctors, nurses on front lines of coronavirus fight",2020-03-31,topNewsHeadlines
Christopher Meloni's Elliot Stabler returns for Law and Order: SVU spinoff,2020-03-31,topNewsHeadlines
Dolly Parton will be reading bedtime stories for your kids!,2020-03-31,topNewsHeadlines
Neurosurgeon who separated conjoined twins dies from complications of Covid-19,2020-03-31,topNewsHeadlines
"General Electric Workers Launch Protest, Demand to Make Ventilators",2020-03-31,topNewsHeadlines
Chris Cuomo diagnosed with coronavirus; he will continue working from home,2020-03-31,topNewsHeadlines
Popularity of Netflix's 'Tiger King' prompts sheriff to ask for leads in 1997 cold case,2020-03-31,topNewsHeadlines
Trump: White House Considering Hazard Pay for Health Care Workers,2020-03-31,topNewsHeadlines
Captain of U.S.S. Theodore Roosevelt Pleads for Help as Coronavirus Spreads Onboard,2020-03-31,topNewsHeadlines
Orangutans and otters pictured playing together in photos shared by Belgian zoo,2020-03-31,topNewsHeadlines
Exclusive: Captain of aircraft carrier with growing coronavirus outbreak pleads for help from Navy,2020-03-31,topNewsHeadlines
MyPillow,2020-03-31,topTrendingOnSm
Schoology,2020-03-31,topTrendingOnSm
Furlough,2020-03-31,topTrendingOnSm
Sophie Brussaux,2020-03-31,topTrendingOnSm
John Krasinski,2020-03-31,topTrendingOnSm
Modern Warfare 2 Remastered,2020-03-31,topTrendingOnSm
SBA disaster loans,2020-03-31,topTrendingOnSm
RIP NIP,2020-03-31,topTrendingOnSm
April fools' pranks,2020-03-31,topTrendingOnSm
Arizona news,2020-03-31,topTrendingOnSm
David Geffen,2020-03-31,topTrendingOnSm
Taco Bell free taco,2020-03-31,topTrendingOnSm
Updated 23:40Finally the day has arrived https://t.co/MK6PSze6He<e2><80><94> Jordy (@inurend0) ,2020-04-01,topTweets
"I<e2><80><99>m gonna give away $5,000 to 3 random people who retweets this and follows me! <e2><9d><a4><ef><b8><8f> Quarantine is lasting way longer than expected and I wanna keep helping out. Love you guys <e2><ad><90><ef><b8><8f><e2><80><94> Jeffree Star (@JeffreeStar) ",2020-04-01,topTweets
Sandra the orangutang started washing her hands because she saw all the zookeepers doing it repeatedly during the COVID-19 crisis.Wash your hands. Be more like Sandra.<f0><9f><8c><8e><e2><9d><a4><ef><b8><8f><f0><9f><a7><bc><f0><9f><8c><8e> https://t.co/t8TTizDGeD<e2><80><94> Rex Chapman<f0><9f><8f><87><f0><9f><8f><bc> (@RexChapman) ,2020-04-01,topTweets
Christopher Meloni's Elliot Stabler returns for Law and Order: SVU spinoff,2020-04-01,topNewsHeadlines
Coronavirus Doctors Threatened to Be Fired if They Talk About PPE,2020-04-01,topNewsHeadlines
Trump rejects Obamacare special enrollment period amid pandemic,2020-04-01,topNewsHeadlines
Chris Cuomo diagnosed with coronavirus; he will continue working from home,2020-04-01,topNewsHeadlines
Pennsylvania placed under stay-at-home order by Gov. Wolf,2020-04-01,topNewsHeadlines
China Concealed Coronavirus Outbreak Extent: U.S. Intelligence,2020-04-01,topNewsHeadlines
Exclusive: Captain of aircraft carrier with growing coronavirus outbreak pleads for help from Navy,2020-04-01,topNewsHeadlines
McConnell: Impeachment distracted government from coronavirus threat,2020-04-01,topNewsHeadlines
Captain of U.S.S. Theodore Roosevelt Pleads for Help as Coronavirus Spreads Onboard,2020-04-01,topNewsHeadlines
6.5 magnitude earthquake rattles Idaho and 6 surrounding states,2020-04-01,topNewsHeadlines
The US governor who saw it coming early,2020-04-01,topNewsHeadlines
"Trending Today on Facebook, Twitter and Social Media",2020-04-01,topTrendingOnSm
Andrew Jack,2020-04-01,topTrendingOnSm
Chris Cuomo,2020-04-01,topTrendingOnSm
#CensusDay2020,2020-04-01,topTrendingOnSm
Idaho earthquake,2020-04-01,topTrendingOnSm
Dame Jean Macnamara,2020-04-01,topTrendingOnSm
April Fools pranks for Parents,2020-04-01,topTrendingOnSm
ZOOM meetings,2020-04-01,topTrendingOnSm
Coach Taylor,2020-04-01,topTrendingOnSm
Wimbledon,2020-04-01,topTrendingOnSm
Yellowstone,2020-04-01,topTrendingOnSm
Zantac,2020-04-01,topTrendingOnSm
Jeff Grosso,2020-04-01,topTrendingOnSm
Updated 03:09Quarantine day 20 https://t.co/sQO47z25MK<e2><80><94> picolo (@_gabrielpicolo) ,2020-04-02,topTweets
Me before and after our album release <f0><9f><98><8e><f0><9f><8c><b8><e2><9c><a8>thank you everyone for your support on CALM<e2><9d><a4><ef><b8><8f> https://t.co/cZw04mU4GT<e2><80><94> Luke Hemmings (@Luke5SOS) ,2020-04-02,topTweets
"Potential No. 1 NBA draft pick LaMelo Ball and his manager Jermaine Jackson have purchased his Australian NBL team, the Illawarra Hawks, Jackson told ESPN on Thursday.https://t.co/Zy80ZmRpVu<e2><80><94> Jonathan Givony (@DraftExpress) ",2020-04-02,topTweets
China Concealed Coronavirus Outbreak Extent: U.S. Intelligence,2020-04-02,topNewsHeadlines
Anthony Fauci<e2><80><99>s security is stepped up as doctor and face of U.S. coronavirus response receives threats,2020-04-02,topNewsHeadlines
Navy relieves captain who raised alarm about coronavirus outbreak on aircraft carrier,2020-04-02,topNewsHeadlines
"Coronavirus can spread through talking or breathing, prestigious panel tells White House",2020-04-02,topNewsHeadlines
Patriots' plane bringing 1.2 million masks to United States,2020-04-02,topNewsHeadlines
CBS admits to using footage from Italy in report about NYC,2020-04-02,topNewsHeadlines
Coronavirus: Russia sends military plane with medical gear to US,2020-04-02,topNewsHeadlines
Trump campaign donating meals to hospitals during coronavirus crisis,2020-04-02,topNewsHeadlines
"Obamacare Markets Will Not Reopen, Trump Decides",2020-04-02,topNewsHeadlines
Philippines president gives OK to shoot lockdown violators,2020-04-02,topNewsHeadlines
Ali Wentworth,2020-04-02,topTrendingOnSm
Ed Farmer,2020-04-02,topTrendingOnSm
Luckin Coffee,2020-04-02,topTrendingOnSm
